idx,image_id,captured_at,year,lat,lon,compass_angle,is_pano,width,height,creator_username,sequence,source_url,license,path
73,788420702108677,2017-06-14T09:53:41+00:00,2017,34.049898055556,-118.43641,251.46589961907,False,1920,1080,mly_la,oBMlVT-MF_sOgUnKYVWsNw,https://www.mapillary.com/app/?pKey=788420702108677,CC BY-SA 4.0,images/788420702108677.jpg
74,1445649342455942,2018-07-30T19:26:13.821000+00:00,2018,34.061965478543,-118.44538563359,295.01486206055,False,1920,1080,lvl5,owhabh65g5igquheaebgx0,https://www.mapillary.com/app/?pKey=1445649342455942,CC BY-SA 4.0,images/1445649342455942.jpg
75,852274792031202,2018-11-30T16:45:03.233000+00:00,2018,34.045317374194,-118.45248554978,64.23168182373,False,1920,1080,lvl5,qyvzdpk426dtspddiyq39e,https://www.mapillary.com/app/?pKey=852274792031202,CC BY-SA 4.0,images/852274792031202.jpg
76,967835347371081,2018-11-30T16:46:20.847000+00:00,2018,34.046088011802,-118.44959903676,70.779266357422,False,1920,1080,lvl5,phqlmbc1a6e8xesgfgvvzu,https://www.mapillary.com/app/?pKey=967835347371081,CC BY-SA 4.0,images/967835347371081.jpg
77,202184491722275,2018-11-30T16:45:02.229000+00:00,2018,34.045289261738,-118.45254436871,63.923595428467,False,1920,1080,lvl5,ge1vupd2ld077bt7ku806y,https://www.mapillary.com/app/?pKey=202184491722275,CC BY-SA 4.0,images/202184491722275.jpg
78,312037163642945,2018-02-26T19:04:05.757000+00:00,2018,34.0624680675,-118.44692213825,122.30902099609,False,5312,2988,whereismystreet,PomwOgJUGZuH7CSKmCbPVA,https://www.mapillary.com/app/?pKey=312037163642945,CC BY-SA 4.0,images/312037163642945.jpg
79,1430955752039464,2026-02-24T12:10:12.483000+00:00,2026,34.05734752,-118.453776,180.0,False,3840,2160,aHS,ryh7VQv2lWBJkNHcE1Yju6,https://www.mapillary.com/app/?pKey=1430955752039464,CC BY-SA 4.0,images/1430955752039464.jpg
80,831707360767199,2015-10-03T16:13:05.346000+00:00,2015,34.061899,-118.451193,3.503174,False,3264,2448,ahealthydesign,krVL7Z7-yeQnEHE3DeCbuw,https://www.mapillary.com/app/?pKey=831707360767199,CC BY-SA 4.0,images/831707360767199.jpg
81,1663054777418222,2018-07-30T19:20:13.532000+00:00,2018,34.045156983333,-118.44486059361,324.4921875,False,1920,1080,lvl5,s4ev2r4pvn33nzr2yapmb3,https://www.mapillary.com/app/?pKey=1663054777418222,CC BY-SA 4.0,images/1663054777418222.jpg
82,760778811259637,2019-06-22T20:43:12+00:00,2019,34.05468,-118.45497233333,251.13999938965,False,3072,1728,mds08011,jvanrxyqdiqbjejl7r4q4c,https://www.mapillary.com/app/?pKey=760778811259637,CC BY-SA 4.0,images/760778811259637.jpg
83,173001094630999,2018-07-30T19:20:53.569000+00:00,2018,34.052378405488,-118.44936592054,341.26971435547,False,1920,1080,lvl5,ind07pasq23ykmquo2xfo3,https://www.mapillary.com/app/?pKey=173001094630999,CC BY-SA 4.0,images/173001094630999.jpg
84,176784904353923,2018-11-30T16:52:44.370000+00:00,2018,34.048880325158,-118.43934259095,72.292457580566,False,1920,1080,lvl5,uskzyz2uf6rzkpayjg5y4e,https://www.mapillary.com/app/?pKey=176784904353923,CC BY-SA 4.0,images/176784904353923.jpg
